video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=iX13rfU27e4&pp=ygUMU3BhY2UgTmVlZGxl,/@yaymoi,Yeimy Cifuentes,"SEATTLE DAY 2 VLOG [space needle, starbucks reserve, tourists era]",13K,7 months,Another Seattle vlog!! The next video is gonna be the LAST Seattle vlog and then my content will go back to my normal vids!,2024-01-28 22:53:16.065294
/watch?v=PGHOpJZ9sLw&pp=ygUMU3BhY2UgTmVlZGxl,/@SkyStudioWest,Sky Studio West,"Flying Over Sunset Seattle [4K] Space Needle, Downtown, Waterfront - Drone Video",16K,2 years,"Aerial / Drone Video Reel of Seattle and Puget Sound around Space Needle, Downtown and Waterfront in Seattle, Washington.",2024-01-28 22:53:16.074696
/watch?v=FcDa0fvDPqg&pp=ygUMU3BhY2UgTmVlZGxl,/@TheGatlinburgHussey,The Gatlinburg Hussey,Alone Atop the Gatlinburg Space Needle: Amazing Views,1.7K,7 months,"Rode the Space Needle in Gatlinburg TN #gatlinburg #pigeonforge #fun Experience the breathtaking views of Gatlinburg, TN, ...",2024-01-28 22:53:16.078289
/watch?v=o4fkFMTpKVE&pp=ygUMU3BhY2UgTmVlZGxl,/@4KNatureandCityWalks,4K Nature and City Walks,"Seattle 6AM Morning Snow Walk, Downtown to Space Needle",2.4M,2 years,Walking in the morning at 6am during snow fall in Seattle from downtown to the Space Needle 0:00 Downtown 16:20 Denny ...,2024-01-28 22:53:16.084623
/watch?v=r7KZ-naVtUM&pp=ygUMU3BhY2UgTmVlZGxl,/@SeattleArchives,SeattleArchives,"World of Tomorrow: Space Needle (April 16, 1962)",2.3K,1 year,KING-TV is the copyright holder for this moving image content. Access is being provided by the Seattle Municipal Archives for ...,2024-01-28 22:53:16.089856
/watch?v=iYqp4-6c_Ns&pp=ygUMU3BhY2UgTmVlZGxl,/@SkyElementsDroneShows,Sky Elements Drone Shows,"OFFICIAL MLB All-Star Drone Show at Seattle's Space Needle (1,200 Drones)",7.3K,6 months,"As Seattle's MLB All-Star week 2023 comes to a head, we celebrated with 1200 drones crating 2 flights of 600 drones for an ...",2024-01-28 22:53:16.092718
/watch?v=bare3ahPSg0&pp=ygUMU3BhY2UgTmVlZGxl,/@ActionKid,ActionKid,The Emerald City : Walking Seattle from Space Needle to Pike Place Market,31K,8 months,Seattle is a coastal seaport city located in the Pacific Northwest region of the United States. It is the largest city in the state of ...,2024-01-28 22:53:16.096385
/watch?v=W7_VfIcsVFs&pp=ygUMU3BhY2UgTmVlZGxl,/@fox13seattle,FOX 13 Seattle,Fog rolls in just in time for Seattle's Space Needle fireworks show,4.3K,3 weeks,How did fog form just in time for Seattle's New Year's Eve fireworks show? FOX 13 Meteorologist Ilona McCauley explains.,2024-01-28 22:53:16.099431
/watch?v=8I0MuuOBZEg&pp=ygUMU3BhY2UgTmVlZGxl,/@XDynamicsGlobal,XDynamics Global,"Shot on EVOLVE 2 | Seattle Space Needle, Seattle, Washington",14K,2 years,"At 605' tall, the Seattle Space Needle is one of the most photographed structures in the world. It has served as the Emerald City's ...",2024-01-28 22:53:27.773992
/watch?v=lcl54Oy0vW8&pp=ygUMU3BhY2UgTmVlZGxl,/@spaceneedle,Space Needle,Space Needle 360°,14K,8 years,"If you see one thing, see it all – literally, and virtually! The Space Needle has launched a brand new virtual reality (VR) mobile app ...",2024-01-28 22:53:27.778880
/watch?v=WgrkD9EZQRc&pp=ygUMU3BhY2UgTmVlZGxl,/@FloridianElevators,Floridian Elevators,"Space Needle Seattle, WA Queue, Elevator Rides & Observatory Views! (2023)",6.7K,10 months,"Filmed on January 2nd, 2023 with ‎@WestCoastElevators . Here we are at Seattle's Most Iconic Landmark, REVISITED Nearly 7 ...",2024-01-28 22:53:27.781913
/watch?v=IlCTiZRzaTc&pp=ygUMU3BhY2UgTmVlZGxl,/@TodayIFoundOut,Today I Found Out,The Space Needle and its Giant Ball of Flame,63K,5 years,Never run out of things to say at the water cooler with TodayIFoundOut! Brand new videos 7 days a week! More from ...,2024-01-28 22:53:27.785682
/watch?v=o6Cv3xXxnTQ&pp=ygUMU3BhY2UgTmVlZGxl,/@BrickSystemBros,Brick System Brothers,Mini Building Blocks: Space Needle Build & Review,12K,4 years,"Taking a look at something different today, Nathan has received a non-LEGO Seattle Space Needle building set: some of the build ...",2024-01-28 22:53:27.791427
/watch?v=bRpkkIfj-hg&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,FULL: New Year's at the Needle fireworks show 2023,113K,1 year,"Sky Elements, a Texas-based drone light show provider, launched 200 drones around the Space Needle during the show, which ...",2024-01-28 22:53:27.794482
/shorts/-7oUh4nZxqI,/@MLTravelAdventures,ML Travel Adventures,Seattle Space Needle airplane view,17K,1 year,When flying into Seattle this is the view you get from the Space Needle!,2024-01-28 22:53:27.797399
/watch?v=ZJLs_-F2lNA&pp=ygUMU3BhY2UgTmVlZGxl,/@MeekahEducationalVideos,Meekah Explores - Educational videos,Meekah and Blippi Visit the Space Needle Playground! | Educational Videos for Kids,428K,7 months,Blippi and Meekah visit an outdoor playground in Seattle! Oh wow! This playground is right by the Space Needle. Can Blippi and ...,2024-01-28 22:53:27.801671
/watch?v=lO146hRDLdM&pp=ygUMU3BhY2UgTmVlZGxl,/@shaunvlog,Shaun,Visiting the Seattle Space Needle,14K,1 year,"About this video - In today's video, I am in Seattle, Washington state and am attempting to scale the famous Space Needle ...",2024-01-28 22:53:27.805835
/watch?v=MRD9vZOuit4&pp=ygUMU3BhY2UgTmVlZGxl,/@WPTVnews,WPTV News - FL Palm Beaches and Treasure Coast,Video captures drone crashing into Seattle's Space Needle,695,4 years,Video captures the moment a drone crashed into Seattle's famed Space Needle a few weeks ago.,2024-01-28 22:53:27.808864
/watch?v=0TDJVmk-MPQ&pp=ygUMU3BhY2UgTmVlZGxl,/@pattyscorner7401,Patty’s Corner,"Space Needle Tour | Seattle, Washington",4.6K,2 years,The Space Needle is one of the most recognizable landmarks in the world and is a treasured Seattle icon. Built for the 1962 ...,2024-01-28 22:53:27.811681
/watch?v=6e0CI8xFhdU&pp=ygUMU3BhY2UgTmVlZGxl,/@KevinStratvert,Kevin Stratvert,SPACE NEEDLE Fireworks NYE - Drone Video,63K,8 years,Amazing fireworks display at the Seattle Space Needle on New Year's Eve captured by a drone. I flew 390 feet high directly above ...,2024-01-28 22:53:27.814681
/watch?v=50jpLIr0iNw&pp=ygUMU3BhY2UgTmVlZGxl,/@ghedoutdoorsman,The Wandering Explorers,"2024 New Years Eve at The Space Needle, Seattle Washington USA #nyeseattle #2024 #nye #seattle #usa",3.5K,3 weeks,Went to watch Fireworks and drone display at the space needle in Seattle Washington for Nee Years eve Celebration!,2024-01-28 22:53:27.817465
/watch?v=nFkOQI_a2Bg&pp=ygUMU3BhY2UgTmVlZGxl,/@TheDailyWoo,TheDailyWoo,Visiting The Fremont Troll In Seattle - Top Of The Space Needle & Monorail Ride Thru / TB Rays Win,50K,1 year,Seattle Adventures May 2022.,2024-01-28 22:53:27.820632
