video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ZMnigDXXoQg&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@NOLLEKEntertainment,NOLLEK Entertainment.,Seattle's Great Wheel By Drone,3.9K,9 years,"Flying over Seattle's great wheel with DJI Phantom vision 2 with stock camera, no Gimbal support.",2024-01-28 23:21:07.517340
/watch?v=8hPJFZCXDAI&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@rojoadventures,RoJo Adventures,Seattle Great Wheel pt.2,988,1 month,"Seattle Great Wheel pt.2 ==================== Pt. 2 Hidden gems Join me as I explore one of Seattle's most iconic attractions, ...",2024-01-28 23:21:07.522644
/watch?v=zSGhzsm-LiI&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@OpenRangeStudios,Open Range Studios,Great Wheel Seattle Waterfront Aerial,203,6 years,Short edit with stunning aerial views of Seattle waterfront piers STOCK FOOTAGE: https://goo.gl/6oTxNY Filmed by: Tyson ...,2024-01-28 23:21:07.526297
/watch?v=Xn6-FyVdjqA&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@worldwildhearts,World Wild Hearts,"SEATTLE, WA | 10 INCREDIBLE Things to Do in & Around Seattle",378K,1 year,"Seattle is located in the northwest of Washington and is the State's largest city. It's nicknamed the ""Emerald City"" because the ...",2024-01-28 23:21:07.529632
/shorts/Tvyim2A8-wA,/@skagitonian3039,Skagitonian,Visiting The Great Wheel in Seattle Washington #seattle,135,4 months,Visiting Seattle The Great Wheel.,2024-01-28 23:21:07.534091
/watch?v=j40EZ5_w6Ps&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@blueplatedigital9273,Blue Plate Digital,Seattle's Great Wheel - 2022 Generic TV Commercial 15 HD h264,90K,2 years,Make memories at Miner's Landing and Seattle's Great Wheel on Pier 57. Enjoy a delicious 4-course dinner aboard a cozy private ...,2024-01-28 23:21:07.540733
/watch?v=hUS9y90KL6I&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@ankitpatro1,Ankit Patro,The Seattle Great Wheel,44,1 year,"The Seattle Great Wheel is a 53-meter tall giant Ferris wheel at Pier 57 on Elliott Bay in Seattle, Washington. At an overall height ...",2024-01-28 23:21:07.546618
/watch?v=jw717KWj8_Y&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,"Pier 57, Great Wheel closure disappoint Seattle's waterfront visitors",7.8K,3 years,Visitors to Seattle's waterfront on Saturday hoping to take a ride on The Great Wheel or eat at The Crab Pot arrived to find ...,2024-01-28 23:21:15.206807
/watch?v=2LfqrUioqrE&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@blueplatedigital9273,Blue Plate Digital,Miners Landing - Seattle's Great Wheel - Valentines Weekend 2022,38K,1 year,Love is in the air this Valentine's weekend at Miner's Landing on Pier 57. Enjoy a four-course meal at Fisherman'. Take a romantic ...,2024-01-28 23:21:15.209351
/shorts/kIUXiqmtZqg,/@visualizingsoundinthewild9812,Visualizing Sound In The Wild,Visualizing Sound In The Wild: Seattle Great Wheel,84,1 year,What if you could capture sound in an image? What if you could add another dimension to a still photograph? What if you could ...,2024-01-28 23:21:15.212910
/watch?v=YqUy1u3N0qk&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@DaveDurkee,Dave Durkee,Seattle's Great Wheel waterfront,2K,8 years,"Flying at Seattle's waterfront park. The Great Wheel, Aquarium, and downtown.",2024-01-28 23:21:15.214379
/watch?v=QVrDC7wnKWU&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@timlewissports,timlewissports,The Great Wheel | Take A Ride On The Seattle Ferris Wheel,1.8K,11 years,Take a ride on the Seattle Ferris wheel -- called 'The Great Wheel' or 'The Seattle Great Wheel'. A full ride on the Seattle Ferris ...,2024-01-28 23:21:15.216998
/watch?v=_M1gK1EZuaw&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@AdventuresWithPurpose,Adventures With Purpose,FOUND 7 Bikes in Ocean 37' Deep Scuba Diving Seattle Great Wheel,43K,4 years,Went scuba diving at Seattle Great Wheel and found 7 bicycles. Don't Worry About the Camera... The PARALENZ Starts ...,2024-01-28 23:21:15.218376
/watch?v=mrGMBBo3vA0&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@SeattleOnASunday,SeattleOnASunday,Sunday ride on the Seattle Great Wheel,136,10 years,Seattle landmarks like Pike Place Market are popular with tourists for a reason -- they are fun to visit. We bring a date for a Sunday ...,2024-01-28 23:21:15.219647
/shorts/LxmTKuvKbyM,/@frankd8089,Frank D,The Great Wheel - Seattle,12,4 years,Janice near Seattle ferris wheel...,2024-01-28 23:21:15.221230
/watch?v=JJbVp30dBWQ&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@AlejandroRuelasLimon,ALEJANDRO RUELAS,The Iconic Seattle Great Wheel,97,5 years,"Pike Place Market is a public market overlooking the Elliott Bay waterfront in Seattle, Washington, United States. The Seattle Great ...",2024-01-28 23:21:15.222680
/watch?v=pcGmTUHIVMQ&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@HungryPassport,Hungry Passport,TOP 10 Things to do in SEATTLE - [2023 Travel Guide],105K,1 year,"Here are our top 10 picks (Top 10 Seattle): CHAPTERS: 0:00 Intro 0:27 #10: Seattle Waterfront: Seattle Great Wheel, Seattle ...",2024-01-28 23:21:15.226556
/watch?v=DEknNSqyrN4&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@kayleyhyde,kayleyhyde,Tidbits of Life | Seattle's Great Wheel,2K,11 years,This is a new series type thing I'll be doing on this channel. Basically just all of the clips that I take but can't really fit into a coherent ...,2024-01-28 23:21:15.228960
/watch?v=dn7P0pTDMdM&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@nscalefun,nscalefun,Seattle's Great Wheel ride. (ferris wheel),4.4K,10 years,"Seattle, WA. has a large ferris wheel called the GREAT WHEEL. Here is some video of the ride and some photos at the end.",2024-01-28 23:21:15.230246
/watch?v=7Y5W4o2MFLc&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@FrenchToastMashedPotatoes,FrenchToast MashedPotatoes,Seattle Great Wheel,241,4 years,A ride on the Giant Wheel at the Pier in Seattle Washington.,2024-01-28 23:21:25.698322
/watch?v=VSU1j1I0YXg&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@MrVolatile96,Volatile,Seattle Great Wheel,56,11 years,View from Seattle Great Wheel.,2024-01-28 23:21:25.701061
